# w   G_w   Sigma_w    chi_NN_w    chi_SS_w  (D: 1, T: 0.0001, U: 1.88, half-filling)
-4.057150843253936046e+00 3.173825829761056812e-05 -2.658840772946164388e-01 -9.970867910550865892e-05 -4.457888069034865453e-02 -1.691898507819142479e-05 6.884650635870662727e-01 -1.393500314039368502e-03 -5.497380689204953153e-03 -2.053314758947683385e-04 -1.253599474115275024e-03 -4.966013537705483760e-05
-4.016981032924689110e+00 3.507780183587789016e-05 -2.690011963267845418e-01 -1.102001645516725354e-04 -4.510791986750195548e-02 -1.870726142199773297e-05 6.855818493380366752e-01 -1.504201016174368201e-03 -5.637831053243737810e-03 -2.257567006134781468e-04 -1.282667297912806975e-03 -5.425824250720455861e-05
-3.977208943489791260e+00 3.875846991470127120e-05 -2.721665504707152516e-01 -1.217633243484065242e-04 -4.564537968005311086e-02 -2.067932447874227912e-05 6.826564978285768470e-01 -1.623112862029593446e-03 -5.782249541192471635e-03 -2.479616888865925658e-04 -1.312410492117355946e-03 -5.921792657848608320e-05
-3.937830637118605370e+00 4.281482085069295983e-05 -2.753813344440923516e-01 -1.345067266493000873e-04 -4.619147703185522147e-02 -2.285394473109996979e-05 6.796881535345395964e-01 -1.750824548524070783e-03 -5.930731511706747137e-03 -2.720751188291473002e-04 -1.342836601481119064e-03 -6.456116411754079967e-05
-3.898842214968916142e+00 4.728495308214212140e-05 -2.786467970780640568e-01 -1.485500612281957236e-04 -4.674643886547302785e-02 -2.525183585391473431e-05 6.766758382751049128e-01 -1.887966793034866544e-03 -6.083366992417548087e-03 -2.982324878469963070e-04 -1.373952614331706932e-03 -7.031067291593346097e-05
-3.860239816800906887e+00 5.221090002836461109e-05 -2.819641993446331263e-01 -1.640253799664213798e-04 -4.731049508569729056e-02 -2.789587371358152185e-05 6.736190128656894816e-01 -2.035216888477528810e-03 -6.240248895350422598e-03 -3.265762685681935888e-04 -1.405764600793275041e-03 -7.648988464209034125e-05
-3.822019620594957257e+00 5.763897978290040072e-05 -2.853349103251731078e-01 -1.810781954463705034e-04 -4.788389493708544720e-02 -3.081129303079271908e-05 6.705163904209112680e-01 -2.193298193339554211e-03 -6.401467177150774179e-03 -3.572560533060472080e-04 -1.438277867092754977e-03 -8.312291201993119631e-05
-3.784177842173225059e+00 6.362029617501405642e-05 -2.887603140227774090e-01 -1.998690550826309818e-04 -4.846689123171588065e-02 -3.402596566198052772e-05 6.673671534563510033e-01 -2.362986763548278503e-03 -6.567110693153896395e-03 -3.904286861945634201e-04 -1.471496456407691026e-03 -9.023451039940006205e-05
-3.746710734824975297e+00 7.021119841265748831e-05 -2.922418507108106578e-01 -2.205749851329400868e-04 -4.905974744907348750e-02 -3.757065892466852561e-05 6.641704522719538151e-01 -2.545112866183397125e-03 -6.737265977877470932e-03 -4.262583822264028152e-04 -1.505423943675949974e-03 -9.785003357557635372e-05
-3.709614588935619128e+00 7.747381546720067780e-05 -2.957810360776451652e-01 -2.433911695173289404e-04 -4.966274107782187031e-02 -4.147933575255344577e-05 6.609252230195239441e-01 -2.740563878333492423e-03 -6.912016928978365581e-03 -4.649168325275098270e-04 -1.540062483948305937e-03 -1.059953837481295637e-04
-3.672885731619424998e+00 8.547669275938348812e-05 -2.993794137073777506e-01 -2.685329500260310253e-04 -5.027615560611664591e-02 -4.578951139916484156e-05 6.576307667355100195e-01 -2.950290218755630307e-03 -7.091446024111713008e-03 -5.065832953209433841e-04 -1.575413340107004959e-03 -1.146969555515451038e-04
-3.636520526355866423e+00 9.429532618925758861e-05 -3.030386391959002945e-01 -2.962375040240248581e-04 -5.090029494921832764e-02 -5.054255848080521293e-05 6.542858367994723867e-01 -3.175303293233076689e-03 -7.275630862849282419e-03 -5.514446721641757740e-04 -1.611476278082301901e-03 -1.239815741285565226e-04
-3.600515372629570887e+00 1.040129867675212294e-04 -3.067603911125758587e-01 -3.267664351067770326e-04 -5.153546837220224219e-02 -5.578416935227842322e-05 6.508896691475297702e-01 -3.416684866011718193e-03 -7.464646595699040571e-03 -5.996955691882079834e-04 -1.648249956328735021e-03 -1.338764272644562409e-04
-3.564866705573832562e+00 1.147214145221456955e-04 -3.105464347914032586e-01 -3.604079530722023019e-04 -5.218200147218210461e-02 -6.156475278294498352e-05 6.474413094932008894e-01 -3.675586588123056983e-03 -7.658564137576625089e-03 -6.515383432218285710e-04 -1.685732163658456911e-03 -1.444089916480949145e-04
-3.529570995617655971e+00 1.265216633760834933e-04 -3.143986164515421566e-01 -3.974795281822646967e-04 -5.284023529793291374e-02 -6.793991480456233051e-05 6.439397303850488141e-01 -3.953233652107245380e-03 -7.857452247357442701e-03 -7.071831328481804901e-04 -1.723918648061826923e-03 -1.556069533761823896e-04
-3.494624748136292869e+00 1.395250254537813250e-04 -3.183188468901599344e-01 -4.383307949575283120e-04 -5.351052369064035474e-02 -7.497098626745718475e-05 6.403840361646362389e-01 -4.250928794357714327e-03 -8.061371963236562896e-03 -7.668478746116792755e-04 -1.762804215206406058e-03 -1.674981228705590248e-04
-3.460024503105240345e+00 1.538539658518615352e-04 -3.223091371668151406e-01 -4.833464888458630982e-04 -5.419323952075183470e-02 -8.272556139822355437e-05 6.367731487080473540e-01 -4.570052706513945233e-03 -8.270380728825603087e-03 -8.307583047682893986e-04 -1.802382201715112004e-03 -1.801103444330452448e-04
-3.425766834757663748e+00 1.696433559106508065e-04 -3.263715269183566359e-01 -5.329503206592191462e-04 -5.488876256952002208e-02 -9.127820091862828139e-05 6.331065311997350342e-01 -4.912073630318080156e-03 -8.484531595452130329e-03 -8.991479471484306379e-04 -1.842644347526204048e-03 -1.934714007188044298e-04
-3.391848351245211557e+00 1.870414446137593975e-04 -3.305081815134823797e-01 -5.876080283154087088e-04 -5.559749630706312118e-02 -1.007110029084641242e-04 6.293832898170134138e-01 -5.278541353453652940e-03 -8.703870986848508129e-03 -9.722580878763852465e-04 -1.883580938998223077e-03 -2.076089124664522720e-04
-3.358265694302189797e+00 2.062110678993986227e-04 -3.347213899051569297e-01 -6.478311760016566877e-04 -5.631986771947916637e-02 -1.111143075765083643e-04 6.256022784021836314e-01 -5.671088027213887738e-03 -8.928439634991796811e-03 -1.050337737858506862e-03 -1.925181093869181076e-03 -2.225502338807220965e-04
-3.325015538913059121e+00 2.273312524135719733e-04 -3.390134809454336540e-01 -7.141821925138446556e-04 -5.705631315289672045e-02 -1.225876209517296617e-04 6.217628893121657230e-01 -6.091439625321722062e-03 -9.158271187444116598e-03 -1.133643584112180216e-03 -1.967432053975200906e-03 -2.383223441209452126e-04
-3.292094592983227042e+00 2.505984849414064097e-04 -3.433869008744883655e-01 -7.872783592926547438e-04 -5.780729179211085977e-02 -1.352403706771695274e-04 6.178643885548746884e-01 -6.541409200042922964e-03 -9.393393436178286079e-03 -1.222439931152673057e-03 -2.010319527974045121e-03 -2.549517354051724738e-04
-3.259499597013096217e+00 2.762283245131268725e-04 -3.478442012475536638e-01 -8.677968750038568026e-04 -5.857328381699922204e-02 -1.491928555069207615e-04 6.139060758291945419e-01 -7.022899001733909005e-03 -9.633828152606549455e-03 -1.316998633782481571e-03 -2.053827860913781059e-03 -2.724642982948683920e-04
-3.227227323775342605e+00 3.044570822295554154e-04 -3.523880368243823002e-01 -9.564801328657548604e-04 -5.935479027966605869e-02 -1.645772435341164366e-04 6.098873454856885701e-01 -7.537900316570728121e-03 -9.879584559334093213e-03 -1.417599022732287046e-03 -2.097939986800708041e-03 -2.908852047781298415e-04
-3.195274577995388832e+00 3.355436719675557048e-04 -3.570211760532780998e-01 -1.054141534811816336e-03 -6.015233516600781982e-02 -1.815386767617926250e-04 6.058076439362370946e-01 -8.088493264690285733e-03 -1.013066713154428013e-02 -1.524527824679458750e-03 -2.142637209739812077e-03 -3.102387898195093892e-04
-3.163638196035038597e+00 3.697714355042806085e-04 -3.617465014796038547e-01 -1.161671225287599961e-03 -6.096646574875430602e-02 -2.002363771717204088e-04 6.016665111697931945e-01 -8.676842402932830045e-03 -1.038707862049360019e-02 -1.638079078214736304e-03 -2.187899348408620191e-03 -3.305484320912840924e-04
-3.132315045579245893e+00 4.074503970168874209e-04 -3.665670142422134403e-01 -1.280043173970497970e-03 -6.179775366685236193e-02 -2.208450029041915397e-04 5.974635885286222470e-01 -9.305198446338668050e-03 -1.064879967533634980e-02 -1.758554047335018997e-03 -2.233705210425027121e-03 -3.518364346435590021e-04
